2019-02-11 15:43:53,714 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------43
2019-02-11 15:43:54,875 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------47
2019-02-11 15:43:55,611 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------51
2019-02-11 15:43:56,233 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------55
2019-02-11 16:29:03,260 This is our input ||||||||||:-------4+4 ||||||||||      This is our output:-------8
2019-02-11 16:29:09,309 This is our input ||||||||||:-------4+4 ||||||||||      This is our output:-------8
2019-02-11 16:29:13,887 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------12
2019-02-11 16:29:18,281 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------16
2019-02-11 16:33:36,752 This is our input ||||||||||:-------/0 ||||||||||      This is our output:-------cant divide with 0!!!!
2019-02-11 16:36:05,872 This is our input ||||||||||:-------import os; os.getcwd() ||||||||||      This is our output:-------No expression after the the given number
2019-02-11 16:36:54,669 This is our input ||||||||||:-------3+4 ||||||||||      This is our output:-------7
2019-02-11 16:36:59,307 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------11
2019-02-11 16:38:14,542 This is our input ||||||||||:-------4+4 ||||||||||      This is our output:-------8
2019-02-11 16:38:20,793 This is our input ||||||||||:-------4i+4 ||||||||||      This is our output:-------No expression after the the given number
2019-02-11 16:59:03,226 This is our input ||||||||||:-------5 ||||||||||      This is our output:-------5
2019-02-11 16:59:08,417 This is our input ||||||||||:-------+5 ||||||||||      This is our output:-------10
2019-02-11 17:00:42,862 This is our input ||||||||||:-------/0 ||||||||||      This is our output:-------cant divide with 0!!!!
2019-02-11 17:00:48,004 This is our input ||||||||||:-------kadhfadkf ||||||||||      This is our output:-------None
2019-02-11 17:01:52,153 This is our input ||||||||||:-------import os; ||||||||||      This is our output:-------No expression after the the given number
2019-02-11 17:01:58,555 This is our input ||||||||||:-------import os ||||||||||      This is our output:-------No expression after the the given number
2019-02-11 17:02:23,691 This is our input ||||||||||:-------import re ||||||||||      This is our output:-------No expression after the the given number
2019-02-11 17:58:49,808 This is our input ||||||||||:-------4+4 ||||||||||      This is our output:-------8
2019-02-11 17:58:53,370 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------12
2019-02-11 18:03:58,080 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------16
2019-02-11 18:03:58,081 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------4
2019-02-11 18:03:58,086 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------20
2019-02-11 18:03:58,086 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------8
2019-02-11 18:03:58,086 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------24
2019-02-11 18:03:58,087 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------12
2019-02-11 18:03:58,088 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------28
2019-02-11 18:03:58,088 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------16
2019-02-11 18:03:58,088 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------32
2019-02-11 18:03:58,089 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------20
2019-02-11 18:03:58,089 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------36
2019-02-11 18:03:58,089 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------24
2019-02-11 18:03:58,090 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------40
2019-02-11 18:03:58,090 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------28
2019-02-11 18:03:58,091 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------44
2019-02-11 18:03:58,091 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------32
2019-02-11 18:03:58,092 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------48
2019-02-11 18:03:58,092 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------36
2019-02-11 18:03:58,093 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------52
2019-02-11 18:03:58,094 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------40
2019-02-11 18:03:58,094 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------56
2019-02-11 18:03:58,095 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------44
2019-02-11 18:03:58,095 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------60
2019-02-11 18:03:58,096 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------48
2019-02-11 18:03:58,097 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------64
2019-02-11 18:03:58,097 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------52
2019-02-11 18:03:58,098 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------68
2019-02-11 18:03:58,099 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------56
2019-02-11 18:03:58,099 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------72
2019-02-11 18:03:58,100 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------60
2019-02-11 18:03:58,101 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------76
2019-02-11 18:03:58,102 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------64
2019-02-11 18:03:58,103 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------80
2019-02-11 18:03:58,103 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------68
2019-02-11 18:03:58,104 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------84
2019-02-11 18:03:58,105 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------72
2019-02-11 18:03:58,106 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------88
2019-02-11 18:03:58,107 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------76
2019-02-11 18:03:58,108 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------92
2019-02-11 18:03:58,109 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------80
2019-02-11 18:03:58,110 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------96
2019-02-11 18:03:58,111 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------84
2019-02-11 18:03:58,111 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------100
2019-02-11 18:03:58,112 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------88
2019-02-11 18:03:58,113 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------104
2019-02-11 18:03:58,114 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------92
2019-02-11 18:03:58,114 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------108
2019-02-11 18:03:58,115 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------96
2019-02-11 18:03:58,116 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------112
2019-02-11 18:03:58,117 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------100
2019-02-11 18:03:58,118 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------116
2019-02-11 18:03:58,119 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------104
2019-02-11 18:03:58,120 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------120
2019-02-11 18:03:58,120 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------108
2019-02-11 18:03:58,121 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------124
2019-02-11 18:03:58,122 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------112
2019-02-11 18:03:58,123 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------128
2019-02-11 18:03:58,124 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------116
2019-02-11 18:03:58,125 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------132
2019-02-11 18:03:58,126 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------120
2019-02-11 18:03:58,127 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------136
2019-02-11 18:03:58,128 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------124
2019-02-11 18:03:58,130 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------140
2019-02-11 18:03:58,131 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------128
2019-02-11 18:03:58,133 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------144
2019-02-11 18:03:58,134 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------132
2019-02-11 18:03:58,135 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------148
2019-02-11 18:03:58,137 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------136
2019-02-11 18:03:58,138 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------152
2019-02-11 18:03:58,139 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------140
2019-02-11 18:03:58,141 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------156
2019-02-11 18:03:58,142 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------144
2019-02-11 18:03:58,144 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------160
2019-02-11 18:03:58,145 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------148
2019-02-11 18:03:58,146 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------164
2019-02-11 18:03:58,148 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------152
2019-02-11 18:03:58,149 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------168
2019-02-11 18:03:58,150 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------156
2019-02-11 18:03:58,153 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------172
2019-02-11 18:03:58,155 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------160
2019-02-11 18:03:58,158 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------176
2019-02-11 18:03:58,160 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------164
2019-02-11 18:03:58,162 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------180
2019-02-11 18:03:58,164 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------168
2019-02-11 18:03:58,166 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------184
2019-02-11 18:03:58,168 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------172
2019-02-11 18:03:58,170 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------188
2019-02-11 18:03:58,171 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------176
2019-02-11 18:03:58,173 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------192
2019-02-11 18:03:58,175 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------180
2019-02-11 18:03:58,177 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------196
2019-02-11 18:03:58,179 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------184
2019-02-11 18:03:58,182 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------200
2019-02-11 18:03:58,184 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------188
2019-02-11 18:03:58,185 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------204
2019-02-11 18:03:58,186 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------192
2019-02-11 18:03:58,188 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------208
2019-02-11 18:03:58,190 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------196
2019-02-11 18:03:58,192 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------212
2019-02-11 18:03:58,194 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------200
2019-02-11 18:03:58,197 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------216
2019-02-11 18:03:58,199 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------204
2019-02-11 18:03:58,201 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------220
2019-02-11 18:03:58,204 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------208
2019-02-11 18:03:58,206 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------224
2019-02-11 18:03:58,209 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------212
2019-02-11 18:03:58,211 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------228
2019-02-11 18:03:58,213 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------216
2019-02-11 18:03:58,215 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------232
2019-02-11 18:03:58,217 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------220
2019-02-11 18:03:58,219 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------236
2019-02-11 18:03:58,222 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------224
2019-02-11 18:03:58,224 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------240
2019-02-11 18:03:58,227 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------228
2019-02-11 18:03:58,230 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------244
2019-02-11 18:03:58,232 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------232
